num_qubits fgp_mean fgp_min fgp_max
16 0.007209014892578125 0.005611896514892578 0.008399009704589844
24 0.024455928802490236 0.021776914596557617 0.02721405029296875
32 0.08816156387329102 0.0458528995513916 0.2054903507232666
40 0.1368192672729492 0.11010575294494629 0.19785714149475098
48 0.2495035171508789 0.21315288543701172 0.2908632755279541
56 0.4446246147155762 0.39137983322143555 0.500190019607544
64 0.6199831962585449 0.5780930519104004 0.7177860736846924
72 1.0796499729156495 1.030400037765503 1.1856977939605713
80 1.4994975566864013 1.4109790325164795 1.5950798988342285
88 2.2837360382080076 2.0489001274108887 2.437107801437378
96 2.8203638076782225 2.6988070011138916 2.933310031890869
