num_qubits fgp_mean fgp_min fgp_max
112 1885.4 1841.0 1922.0
128 2414.2 2394.0 2434.0
144 3046.6 2986.0 3081.0
160 3758.2 3725.0 3798.0
176 4532.2 4490.0 4556.0
192 5330.8 5283.0 5347.0
208 6288.0 6250.0 6355.0
224 7205.2 7089.0 7266.0
240 8282.2 8220.0 8344.0
