num_qubits fgp_mean fgp_min fgp_max
16 0.008835077285766602 0.007910966873168945 0.010921001434326172
24 0.030620288848876954 0.029736042022705078 0.03206610679626465
32 0.08646821975708008 0.08424186706542969 0.0884852409362793
40 0.19948606491088866 0.19698190689086914 0.2055811882019043
48 0.39600133895874023 0.3890831470489502 0.4067647457122803
56 0.7452199935913086 0.7072608470916748 0.7752158641815186
64 1.2468461036682128 1.205409049987793 1.2986550331115723
72 1.982796812057495 1.944120168685913 2.023387908935547
80 3.0533867359161375 2.95287823677063 3.138704776763916
88 4.278037357330322 4.130752086639404 4.438622951507568
96 6.004855394363403 5.936956167221069 6.11565899848938
