num_qubits fgp_mean fgp_min fgp_max
16 0.02111363410949707 0.019778013229370117 0.022203922271728516
24 0.10057229995727539 0.08114886283874512 0.13675904273986816
32 0.2724755764007568 0.24126386642456055 0.30669593811035156
40 0.6846216678619385 0.6352481842041016 0.708812952041626
48 1.5398409366607666 1.446530818939209 1.6262967586517334
56 3.2333908081054688 3.118467092514038 3.526137113571167
64 5.778400707244873 5.632977724075317 5.908358097076416
72 9.975156354904176 9.789819955825806 10.251415967941284
80 16.102607822418214 15.617187023162842 16.44877004623413
88 25.88249158859253 25.37559199333191 26.6391339302063
96 39.669913864135744 39.249687910079956 40.23782181739807
