num_qubits fgp_mean fgp_min fgp_max
16 0.023842048645019532 0.02281808853149414 0.025819063186645508
24 0.12445039749145508 0.1014549732208252 0.17125511169433594
32 0.32224287986755373 0.300997257232666 0.3561379909515381
40 0.8276799201965332 0.7819910049438477 0.8587908744812012
48 1.8538392066955567 1.7790169715881348 1.9792821407318115
56 3.7423508644104 3.689775228500366 3.7863380908966064
64 7.030026817321778 6.950423002243042 7.12791109085083
72 12.346459150314331 12.273518085479736 12.52169394493103
80 20.713034677505494 20.577194213867188 20.988117933273315
88 32.87486581802368 32.77697706222534 33.05678105354309
96 50.121871376037596 49.55646204948425 50.82393288612366
