# num_qubits fgp_mean fgp_min fgp_max16 0.003495025634765625 0.0031099319458007812 0.004183053970336914
24 0.023616695404052736 0.02262091636657715 0.024704933166503906
32 0.08588533401489258 0.07539987564086914 0.09223294258117676
40 0.2465616226196289 0.22800707817077637 0.2728149890899658
48 0.5682463645935059 0.5293939113616943 0.649245023727417
56 1.15538592338562 1.1361281871795654 1.185547113418579
64 2.125698757171631 2.068086862564087 2.160194158554077
72 3.698054552078247 3.583564043045044 3.7682199478149414
80 6.008554553985595 5.935433864593506 6.076464891433716
88 9.290192985534668 8.949841022491455 9.464999914169312
96 14.38104419708252 13.742914199829102 14.577624082565308
