num_qubits fgp_mean fgp_min fgp_max
16 47.6 44.0 52.0
24 104.4 102.0 106.0
32 176.4 170.0 184.0
40 275.6 270.0 282.0
48 400.4 378.0 414.0
56 543.2 536.0 546.0
64 715.6 696.0 732.0
72 888.0 878.0 898.0
80 1083.6 1056.0 1104.0
88 1326.8 1284.0 1344.0
96 1570.4 1558.0 1588.0
