num_qubits fgp_mean fgp_min fgp_max
112 32.44900135993957 31.627103090286255 33.182002782821655
128 61.006306171417236 59.0130181312561 62.43063497543335
144 107.88466014862061 103.62679195404053 109.76437783241272
160 183.99537348747253 179.19414830207825 187.51051688194275
176 294.91171002388 287.8789608478546 297.53004693984985
192 447.7170352458954 433.32798624038696 457.74215602874756
208 674.3308572292328 655.766389131546 700.660698890686
224 940.180377817154 905.7471742630005 957.9844946861267
240 1359.299648809433 1292.3664491176605 1429.5631399154663
