num_qubits fgp_mean fgp_min fgp_max
16 84.8 78.0 90.0
24 181.8 165.0 192.0
32 315.8 312.0 319.0
40 490.4 473.0 501.0
48 691.0 678.0 718.0
56 933.8 923.0 942.0
64 1214.8 1203.0 1226.0
72 1520.8 1494.0 1538.0
80 1879.6 1864.0 1896.0
88 2258.4 2244.0 2272.0
96 2672.0 2661.0 2683.0
