num_qubits fgp_mean fgp_min fgp_max
16 22.8 22.0 24.0
24 40.0 28.0 50.0
32 48.4 36.0 58.0
40 60.4 48.0 74.0
48 77.2 66.0 106.0
56 94.4 82.0 110.0
64 87.6 78.0 100.0
72 106.4 98.0 120.0
80 115.2 100.0 126.0
88 139.6 118.0 164.0
96 131.2 120.0 142.0
