num_qubits fgp_mean fgp_min fgp_max
16 0.01581540107727051 0.013137102127075195 0.023162841796875
24 0.06109905242919922 0.0583348274230957 0.06529521942138672
32 0.18519811630249022 0.17746567726135254 0.2026231288909912
40 0.4636856555938721 0.39655017852783203 0.7204949855804443
48 0.8480663776397706 0.8361568450927734 0.8671920299530029
56 1.5759718418121338 1.5424902439117432 1.6245529651641846
64 2.611610221862793 2.541323184967041 2.7729363441467285
72 4.254544925689697 4.169384002685547 4.467273950576782
80 6.5311685562133786 6.253129959106445 6.797642946243286
88 9.245929718017578 9.091903924942017 9.623756647109985
96 13.520119285583496 13.30115795135498 13.735954284667969
