num_qubits fgp_mean fgp_min fgp_max
16 0.007891130447387696 0.005827903747558594 0.010156869888305664
24 0.025981807708740236 0.022387981414794922 0.02899622917175293
32 0.23599534034729003 0.06275081634521484 0.9070398807525635
40 0.15423364639282228 0.11275291442871094 0.2638430595397949
48 0.2299039363861084 0.20128297805786133 0.2700080871582031
56 0.42527108192443847 0.36335325241088867 0.543287992477417
64 0.6681049346923829 0.557729959487915 0.835669994354248
72 1.0451767444610596 0.935157060623169 1.1618988513946533
80 1.5001951694488525 1.3854129314422607 1.6207969188690186
88 2.1857008934020996 1.9454939365386963 2.5466527938842773
96 3.19140682220459 2.7250561714172363 3.6025171279907227
