num_qubits fgp_mean fgp_min fgp_max
16 62.0 51.0 71.0
24 101.4 97.0 106.0
32 147.2 138.0 164.0
40 191.0 164.0 202.0
48 221.4 191.0 253.0
56 270.6 246.0 292.0
64 291.0 268.0 314.0
72 354.4 316.0 388.0
80 393.8 356.0 430.0
88 437.4 399.0 506.0
96 519.4 448.0 636.0
