# num_qubits fgp_mean fgp_min fgp_max16 14.8 12.0 18.0
24 49.6 43.0 55.0
32 103.0 100.0 107.0
40 173.6 161.0 182.0
48 283.2 268.0 295.0
56 426.8 414.0 440.0
64 584.2 573.0 604.0
72 766.0 752.0 787.0
80 995.6 968.0 1019.0
88 1256.0 1222.0 1304.0
96 1511.2 1476.0 1527.0
