num_qubits fgp_mean fgp_min fgp_max
16 0.011111640930175781 0.008230209350585938 0.013000011444091797
24 0.034831905364990236 0.032280921936035156 0.038580894470214844
32 0.10276398658752442 0.08170413970947266 0.127593994140625
40 0.2283019542694092 0.2019357681274414 0.2838609218597412
48 0.41370258331298826 0.3603038787841797 0.4922358989715576
56 0.732169771194458 0.6711859703063965 0.7932348251342773
64 1.1430790901184082 1.0684378147125244 1.2404117584228516
72 1.9271953582763672 1.6980018615722656 2.154493808746338
80 2.871739721298218 2.634014844894409 3.0408077239990234
88 4.098744440078735 3.8443470001220703 4.476979970932007
96 6.052641248703003 5.491708993911743 7.148277044296265
