num_qubits fgp_mean fgp_min fgp_max
16 72.0 72.0 72.0
24 112.0 112.0 112.0
32 148.0 148.0 148.0
40 188.0 188.0 188.0
48 224.0 224.0 224.0
56 264.0 264.0 264.0
64 304.0 304.0 304.0
72 340.0 340.0 340.0
80 407.0 407.0 407.0
88 449.0 449.0 449.0
96 489.0 489.0 489.0
