num_qubits fgp_mean fgp_min fgp_max
16 22.0 20.0 24.0
24 36.8 30.0 42.0
32 51.2 38.0 84.0
40 54.4 46.0 66.0
48 68.4 56.0 84.0
56 80.4 66.0 98.0
64 88.8 76.0 108.0
72 103.2 96.0 110.0
80 104.4 94.0 112.0
88 130.0 112.0 168.0
96 142.8 126.0 170.0
