num_partitions coarsening_factor mean_cost_init_ng mean_cost_init mean_cost_final mean_time_taken
4 2 16384.6 11464.4 9423.8 52.78252696990967
8 2 27493.0 19955.4 18204.4 68.82749962806702
16 2 40041.5 30303.0 29496.75 87.04482704401016
32 2 56718.0 44268.0 47899.666666666664 119.20865217844646
8 4 27497.4 20011.8 17480.8 73.73316287994385
16 4 39846.8 30306.2 25623.8 89.71824989318847
32 4 56739.8 44266.0 46873.4 106.50640687942504
64 4 77878.4 62133.2 61132.4 140.5695016860962
16 8 39905.4 30293.2 28174.2 126.66154537200927
64 8 78030.2 62150.0 56723.8 237.14500226974488
