num_partitions coarsening_factor mean_cost_init_ng mean_cost_init mean_cost_final mean_time_taken
4 2 4041.0 2812.0 2373.0 15.401561498641968
8 2 6926.0 5011.0 4761.0 21.03189492225647
16 2 9932.0 7536.0 7714.0 25.192543268203735
8 4 6807.0 4976.0 4434.333333333333 21.433332284291584
16 4 9807.8 7439.0 6519.8 25.219909715652467
32 4 13904.75 10763.25 12009.5 29.321782112121582
64 4 18093.75 14276.25 15781.0 36.44387185573578
16 8 9867.0 7459.8 7236.0 37.200701761245725
64 8 18089.6 14317.8 13478.0 55.94808115959167
