num_qubits r_mean r_min r_max
16 17.0 16.0 18.0
24 30.0 30.0 30.0
32 44.0 42.0 46.0
40 57.6 55.0 59.0
48 69.0 68.0 71.0
56 81.8 81.0 83.0
64 93.8 93.0 95.0
72 105.6 105.0 107.0
80 118.6 115.0 122.0
88 129.4 128.0 131.0
96 141.4 139.0 143.0
