num_qubits r_mean r_min r_max
112 1212.2 1197.0 1228.0
128 1592.2 1583.0 1600.0
144 2013.6 1980.0 2038.0
160 2487.0 2445.0 2551.0
176 3023.2 2993.0 3066.0
192 3607.6 3595.0 3621.0
208 4252.8 4224.0 4284.0
224 4944.4 4920.0 4962.0
240 5670.6 5625.0 5712.0
256 6520.6 6455.0 6575.0
