num_qubits r_mean r_min r_max
16 102.2 92.0 109.0
24 218.4 216.0 221.0
32 380.4 363.0 403.0
40 571.4 558.0 580.0
48 830.8 807.0 852.0
56 1094.2 1077.0 1114.0
64 1453.4 1430.0 1478.0
72 1808.4 1767.0 1847.0
80 2249.6 2217.0 2269.0
88 2727.8 2691.0 2791.0
96 3289.0 3275.0 3302.0
