num_qubits r_mean r_min r_max
16 56.4 51.0 60.0
24 118.8 103.0 134.0
32 205.0 185.0 217.0
40 326.0 310.0 355.0
48 472.8 465.0 484.0
56 614.0 596.0 639.0
64 832.4 799.0 868.0
72 1027.8 1004.0 1062.0
80 1322.0 1299.0 1354.0
88 1573.6 1553.0 1581.0
96 1877.8 1843.0 1926.0
