num_qubits r_mean r_min r_max
16 1.2123399257659913 1.0351552963256836 1.3227171897888184
24 3.024673318862915 2.76114559173584 3.426547050476074
32 6.485449934005738 6.0961103439331055 6.830110549926758
40 11.218583059310912 10.695754051208496 11.720291376113892
48 17.853901672363282 16.98925232887268 18.74961543083191
56 27.277982234954834 25.386905431747437 28.718490600585938
64 38.06638321876526 34.66179800033569 40.42261576652527
72 52.3077748298645 51.338197469711304 54.3330397605896
80 68.64680700302124 67.06520891189575 70.76965689659119
88 91.99252967834472 90.82970261573792 92.95342755317688
96 114.70219345092774 112.05185794830322 118.00077986717224
