num_qubits r_mean r_min r_max
16 1.5674923419952393 1.4365177154541016 1.7099418640136719
24 3.8777091026306154 3.6823880672454834 4.163886308670044
32 7.040447616577149 6.96517539024353 7.118720531463623
40 11.746375703811646 11.598726511001587 11.945900201797485
48 18.95002884864807 18.710903882980347 19.5277156829834
56 27.239287853240967 26.846217393875122 27.75628137588501
64 36.31256833076477 36.070175647735596 36.686691761016846
72 48.99068989753723 47.79726195335388 50.027053117752075
80 63.21640567779541 62.425227642059326 63.972649335861206
88 81.42617344856262 81.05971455574036 82.0153603553772
96 101.24033064842224 99.82656717300415 102.09355664253235
