num_qubits r_mean r_min r_max
16 0.3239539623260498 0.29659175872802734 0.34742283821105957
24 0.885492992401123 0.83418869972229 0.9896299839019775
32 1.9750535011291503 1.9402823448181152 2.0361785888671875
40 3.7161468029022218 3.4600930213928223 3.8476381301879883
48 5.788166856765747 5.315814256668091 6.072448253631592
56 7.466603469848633 7.235102653503418 7.670393705368042
64 10.456323337554931 10.414594411849976 10.502286911010742
72 15.041004276275634 14.902961015701294 15.12768268585205
80 19.90543990135193 19.71853995323181 20.127393007278442
88 25.41733055114746 25.234853744506836 25.644383430480957
96 32.709386110305786 32.549206495285034 32.85716795921326
