num_qubits r_mean r_min r_max
16 0.6835325717926025 0.6103332042694092 0.7405200004577637
24 2.1015540599822997 1.4418277740478516 3.637298107147217
32 3.4961376667022703 3.440497875213623 3.626420021057129
40 6.201578044891358 5.80256724357605 6.587275266647339
48 10.097020530700684 8.713459491729736 11.892815828323364
56 14.152002716064453 13.605215787887573 14.96506929397583
64 20.116114568710326 18.845799446105957 21.804296255111694
72 27.977694368362428 25.532342195510864 32.85692548751831
80 46.36230134963989 37.21842932701111 55.3215126991272
88 58.450606155395505 43.07274055480957 87.76038002967834
96 58.73219084739685 56.80440163612366 61.151909828186035
