num_qubits r_mean r_min r_max
16 0.6342825412750244 0.6157889366149902 0.6618304252624512
24 1.9050667762756348 1.871626615524292 1.9522404670715332
32 3.9372705936431887 3.8429057598114014 3.997091770172119
40 7.698312854766845 7.434863567352295 7.8803699016571045
48 12.149758100509644 11.589006423950195 13.07187795639038
56 17.411943101882933 17.11420702934265 17.71425724029541
64 25.247126436233522 24.79928231239319 25.521305322647095
72 33.78344836235046 33.37151026725769 34.12951159477234
80 46.20217418670654 45.50503087043762 46.64716172218323
88 61.321178150177005 60.83994936943054 61.84555149078369
96 82.0114688873291 79.52220487594604 83.61490678787231
